City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country
265,Sandpoint,48.2766,-116.5533,overcast clouds,48.02,91,100,1.99,US
266,Chuy,-33.6971,-53.4616,scattered clouds,58.95,82,30,3.85,UY
267,Kaputa,-8.4689,29.6619,broken clouds,68.18,82,67,3.62,ZM
268,Impfondo,1.6381,18.0667,overcast clouds,69.85,98,96,1.61,CG
269,Severo-Yeniseyskiy,60.3725,93.0408,snow,22.44,93,100,14.9,RU
270,Naryan-Mar,67.6713,53.087,overcast clouds,36.34,100,100,11.81,RU
271,Yulara,-25.2406,130.9889,clear sky,44.44,57,0,8.05,AU
272,Tuatapere,-46.1333,167.6833,moderate rain,56.79,97,100,3.62,NZ
273,Berlevag,70.8578,29.0864,light rain,37.35,75,100,27.63,NO
274,Kangasala,61.4638,24.076,scattered clouds,39.33,64,49,6.69,FI
275,Aksu,41.1231,80.2644,clear sky,67.39,37,2,5.06,CN
276,Bay Roberts,47.5999,-53.2648,overcast clouds,41.05,57,98,5.01,CA
277,Dawlatabad,36.4141,64.9053,scattered clouds,78.55,29,49,3.87,AF
278,Zima,53.9202,102.0442,overcast clouds,42.53,77,86,9.48,RU
279,Kirensk,57.7853,108.1119,overcast clouds,44.35,67,100,10.22,RU
280,Iquique,-20.2208,-70.1431,broken clouds,64.44,83,61,4.12,CL
281,Sao Jose Da Coroa Grande,-8.8978,-35.1478,broken clouds,77.45,82,74,5.1,BR
282,Arrecife,28.963,-13.5477,clear sky,69.78,64,0,19.57,ES
283,Marsh Harbour,26.5412,-77.0636,few clouds,80.71,66,23,14.74,BS
284,Mbandaka,0.0487,18.2603,broken clouds,70.52,98,79,3.2,CD
285,Topolobampo,25.6,-109.05,clear sky,84.88,39,0,11.99,MX
286,Conceicao Do Araguaia,-8.2578,-49.2647,scattered clouds,76.69,84,46,4.12,BR
287,Opuwo,-18.0607,13.84,clear sky,61.97,41,1,3.09,NA
288,Pinyug,60.251,47.7842,light rain,47.79,69,47,10.4,RU
289,Henties Bay,-22.116,14.2845,clear sky,56.97,89,0,12.44,NA
290,Petrykivka,48.7298,34.6351,overcast clouds,48.09,55,100,5.08,UA
291,Lompoc,34.6391,-120.4579,clear sky,78.57,66,0,28.77,US
292,Kyzyl-Suu,42.3414,78.0056,clear sky,51.71,62,0,6.46,KG
293,Kawambwa,-9.7915,29.0791,overcast clouds,66.72,71,100,4.61,ZM
294,Victoria,22.2855,114.1577,overcast clouds,77.18,76,100,5.99,HK
295,Husavik,66.0449,-17.3389,overcast clouds,39.43,72,100,3.04,IS
296,Mendi,-6.1761,143.6513,overcast clouds,63.9,83,98,0.54,PG
297,Chicama,-7.8447,-79.1469,few clouds,63.14,77,14,7.02,PE
298,Shahrud,36.4182,54.9763,overcast clouds,64.65,48,94,1.41,IR
299,Bilma,18.6853,12.9164,overcast clouds,92.73,13,100,6.04,NE
300,Mwinilunga,-11.7358,24.4293,scattered clouds,60.71,79,43,3.6,ZM
301,Kaeo,-35.1,173.7833,few clouds,65.32,84,11,3.36,NZ
